train_test: ('prediction', 'train')
sensor_16_std: (0.0, 5.483)
power_17_avg: (-0.0039398, 1.08988)
power_17_max: (0.0, 1.2158)
power_17_min: (-0.0442, 1.0482)
power_17_std: (0.0, 0.53208)
sensor_18_avg: (0.0, 74.894)
sensor_18_max: (0.0, 75.1)
sensor_18_min: (0.0, 74.5)
sensor_18_std: (0.0, 11.496)
sensor_19_avg: (0.0, 74.834)
sensor_19_max: (0.0, 75.1)
sensor_19_min: (0.0, 74.8)
sensor_19_std: (0.0, 11.303)
sensor_20_avg: (0.0, 74.063)
sensor_20_max: (0.0, 74.2)
sensor_20_min: (0.0, 73.9)
sensor_20_std: (0.0, 11.441)
sensor_21_avg: (0.0, 74.106)
sensor_21_max: (0.0, 74.3)
sensor_21_min: (0.0, 73.9)
sensor_21_std: (0.0, 11.449)
sensor_22_avg: (0.0, 1.212)
sensor_22_max: (0.0, 1.26)
sensor_22_min: (0.0, 1.21)
sensor_22_std: (0.0, 0.6051)
sensor_23_avg: (0.0, 3.641)
sensor_23_max: (0.0, 24.3)
sensor_23_min: (0.0, 3.47)
sensor_23_std: (0.0, 1.925)
sensor_24_avg: (0.0, 3.472)
sensor_24_max: (0.0, 24.3)
sensor_24_min: (0.0, 3.47)
sensor_24_std: (0.0, 1.998)
sensor_25_avg: (-24.9, 31.166)
sensor_25_max: (-24.9, 58.1)
sensor_25_min: (-24.9, 27.6)
sensor_25_std: (0.0, 18.685)
sensor_26_avg: (-37.4, 17.437)
sensor_26_max: (-37.4, 150.0)
sensor_26_min: (-37.4, 12.8)
sensor_26_std: (0.0, 20.469)
sensor_27_avg: (-24.0, 8.449)
sensor_27_max: (-24.0, 100.0)
sensor_27_min: (-24.0, 8.0)
sensor_27_std: (0.0, 12.172)
sensor_28_avg: (-24.0, 8.444)
sensor_28_max: (-24.0, 83.0)
sensor_28_min: (-24.0, 8.0)
sensor_28_std: (0.0, 12.21)
sensor_29_avg: (-24.0, 8.651)
sensor_29_max: (-24.0, 100.0)
sensor_29_min: (-24.0, 8.0)
sensor_29_std: (0.0, 12.202)
sensor_30_avg: (-24.0, 8.805)
sensor_30_max: (-24.0, 100.0)
sensor_30_min: (-24.0, 8.0)
sensor_30_std: (0.0, 12.195)
sensor_31_avg: (-24.0, 8.774)
sensor_31_max: (-24.0, 87.0)
sensor_31_min: (-24.0, 8.0)
sensor_31_std: (0.0, 12.2)
sensor_32_avg: (-24.0, 8.142)
sensor_32_max: (-24.0, 85.0)
sensor_32_min: (-24.0, 8.0)
sensor_32_std: (0.0, 12.175)
sensor_33_avg: (-24.0, 8.455)
sensor_33_max: (-24.0, 85.0)
sensor_33_min: (-24.0, 8.0)
sensor_33_std: (0.0, 12.184)
sensor_34_avg: (-24.0, 8.553)
sensor_34_max: (-24.0, 100.0)
sensor_34_min: (-24.0, 8.0)
sensor_34_std: (0.0, 12.197)
sensor_35_avg: (-1.998, 5166.0)
sensor_35_max: (-1.0, 6034.0)
sensor_35_min: (-3.0, 5166.0)
sensor_35_std: (0.0, 2553.2)
sensor_36_avg: (-5.6, 711.93)
sensor_36_max: (-5.6, 843.1)
sensor_36_min: (-6.6, 583.6)
sensor_36_std: (0.0, 281.28)
sensor_37_avg: (-5.6, 719.67)
sensor_37_max: (-5.6, 840.2)
sensor_37_min: (-5.6, 629.6)
sensor_37_std: (0.0, 308.92)
sensor_38_avg: (-2.444, 672.1)
sensor_38_max: (-1.3, 835.9)
sensor_38_min: (-2.9, 672.1)
sensor_38_std: (0.0, 280.84)
sensor_39_avg: (0.0, 34.8)
sensor_39_max: (0.0, 34.8)
sensor_39_min: (0.0, 34.8)
sensor_39_std: (0.0, 6.337)
sensor_40_avg: (0.0, 1100.0)
sensor_40_max: (0.0, 1100.0)
sensor_40_min: (0.0, 1100.0)
sensor_40_std: (0.0, 477.33)
sensor_41_avg: (-54.9, 70.0)
sensor_41_max: (-54.9, 70.0)
sensor_41_min: (-54.9, 70.0)
sensor_41_std: (0.0, 34.968)
sensor_42_avg: (-19.9, 77.41)
sensor_42_max: (-19.9, 80.0)
sensor_42_min: (-19.9, 68.2)
sensor_42_std: (0.0, 30.392)
sensor_43_avg: (-4999.0, 19584.0)
sensor_43_max: (-4999.0, 19767.0)
sensor_43_min: (-4999.0, 19462.0)
sensor_43_std: (0.0, 9633.5)
sensor_44_avg: (-39.73, 28.077)
sensor_44_max: (-24.99, 99.84)
sensor_44_min: (-103.19, 28.02)
sensor_44_std: (0.0, 53.082)
sensor_45_avg: (-25.72, 27.039)
sensor_45_max: (-24.99, 100.0)
sensor_45_min: (-126.86, 27.01)
sensor_45_std: (0.0, 84.047)
sensor_46_avg: (-25.0, 54.275)
sensor_46_max: (-25.0, 55.3)
sensor_46_min: (-25.0, 52.9)
sensor_46_std: (0.0, 21.634)
sensor_47_avg: (0.0, 50.621)
sensor_47_max: (0.0, 84.3)
sensor_47_min: (-0.0299, 50.56)
sensor_47_std: (0.0, 25.084)
sensor_48_avg: (-62.4, 182.32)
sensor_48_max: (-62.4, 183.6)
sensor_48_min: (-132.1, 181.8)
sensor_48_std: (0.0, 139.15)
sensor_49_avg: (-62.4, 188.8)
sensor_49_max: (-62.4, 189.3)
sensor_49_min: (-128.7, 188.6)
sensor_49_std: (0.0, 118.78)
sensor_50_avg: (-95.382, 191.39)
sensor_50_max: (-62.4, 202.9)
sensor_50_min: (-321.8, 191.2)
sensor_50_std: (0.0, 225.8)
sensor_51_avg: (-62.4, 215.97)
sensor_51_max: (-62.4, 216.6)
sensor_51_min: (-262.7, 215.7)
sensor_51_std: (0.0, 185.91)
sensor_52_avg: (-62.4, 202.13)
sensor_52_max: (-62.4, 225.4)
sensor_52_min: (-282.5, 201.8)
sensor_52_std: (0.0, 204.69)
sensor_53_avg: (-100.84, 182.05)
sensor_53_max: (-79.8, 185.4)
sensor_53_min: (-205.9, 179.4)
sensor_53_std: (0.0, 116.33)
sensor_54_avg: (-197.61, 114.49)
sensor_54_max: (-168.8, 160.8)
sensor_54_min: (-244.1, 114.2)
sensor_54_std: (0.0, 112.17)
sensor_55_avg: (-244.72, 198.58)
sensor_55_max: (-98.2, 198.9)
sensor_55_min: (-352.4, 198.3)
sensor_55_std: (0.0, 158.06)
sensor_56_avg: (0.0, 3793888.0)
sensor_56_max: (0.0, 429496736.0)
sensor_56_min: (0.0, 91.7)
sensor_56_std: (0.0, 40191268.0)
sensor_57_avg: (0.0, 3937054.0)
sensor_57_max: (0.0, 429496736.0)
sensor_57_min: (0.0, 89.4)
sensor_57_std: (0.0, 40935688.0)
sensor_58_avg: (0.0, 4095738.0)
sensor_58_max: (0.0, 429496736.0)
sensor_58_min: (0.0, 19552.0)
sensor_58_std: (0.0, 41664796.0)
sensor_59_avg: (0.0, 4167307.0)
sensor_59_max: (0.0, 429496736.0)
sensor_59_min: (0.0, 19573.0)
sensor_59_std: (0.0, 42025152.0)
sensor_60_avg: (0.0, 4382090.0)
sensor_60_max: (0.0, 429496736.0)
sensor_60_min: (0.0, 19584.0)
sensor_60_std: (0.0, 43087424.0)
sensor_61_avg: (0.0, 1041.4)
sensor_61_max: (0.0, 1041.5)
sensor_61_min: (0.0, 1041.3)
sensor_61_std: (0.0, 146.4)
sensor_62_avg: (0.0, 76.994)
sensor_62_max: (0.0, 77.2)
sensor_62_min: (0.0, 76.9)
sensor_62_std: (0.0, 25.047)
sensor_63_avg: (0.0, 77.084)
sensor_63_max: (0.0, 85.6)
sensor_63_min: (0.0, 76.9)
sensor_63_std: (0.0, 26.726)
sensor_64_avg: (0.0, 2119.2)
sensor_64_max: (0.0, 2119.2)
sensor_64_min: (0.0, 2119.2)
sensor_64_std: (0.0, 1059.7)
sensor_65_avg: (0.0, 45.111)
sensor_65_max: (0.0, 45.2)
sensor_65_min: (0.0, 45.1)
sensor_65_std: (0.0, 17.571)
sensor_66_avg: (0.0, 128.49)
sensor_66_max: (0.0, 854.0)
sensor_66_min: (0.0, 114.0)
sensor_66_std: (0.0, 59.548)
sensor_67_avg: (0.0, 131.22)
sensor_67_max: (0.0, 742.0)
sensor_67_min: (0.0, 108.0)
sensor_67_std: (0.0, 63.31)
sensor_68_avg: (0.0, 127.81)
sensor_68_max: (0.0, 823.0)
sensor_68_min: (0.0, 113.0)
sensor_68_std: (0.0, 81.365)
sensor_69_avg: (0.0, 20.998)
sensor_69_max: (0.0, 102.3)
sensor_69_min: (0.0, 16.7)
sensor_69_std: (0.0, 11.399)
sensor_70_avg: (0.0, 21.181)
sensor_70_max: (0.0, 119.0)
sensor_70_min: (0.0, 18.3)
sensor_70_std: (0.0, 11.594)
sensor_71_avg: (0.0, 405.0)
sensor_71_max: (0.0, 523.0)
sensor_71_min: (0.0, 405.0)
sensor_71_std: (0.0, 199.19)
sensor_72_avg: (0.0, 405.01)
sensor_72_max: (0.0, 524.0)
sensor_72_min: (0.0, 405.0)
sensor_72_std: (0.0, 198.72)
sensor_73_avg: (0.0, 405.0)
sensor_73_max: (0.0, 520.0)
sensor_73_min: (0.0, 405.0)
sensor_73_std: (0.0, 198.72)
sensor_74_avg: (0.0, 228.01)
sensor_74_max: (0.0, 229.0)
sensor_74_min: (0.0, 228.0)
sensor_74_std: (0.0, 61.963)
sensor_75_avg: (-6792.2, 6976.0)
sensor_75_max: (-6783.0, 6976.0)
sensor_75_min: (-7593.0, 6976.0)
sensor_75_std: (0.0, 4871.1)
sensor_76_avg: (-2.5, 25.994)
sensor_76_max: (-2.5, 29.0)
sensor_76_min: (-2.5, 24.25)
sensor_76_std: (0.0, 10.496)
sensor_77_avg: (0.0, 1.931)
sensor_77_max: (0.0, 3.92)
sensor_77_min: (0.0, 1.92)
sensor_77_std: (0.0, 1.152)
sensor_78_avg: (0.0, 1.92)
sensor_78_max: (0.0, 3.92)
sensor_78_min: (0.0, 1.92)
sensor_78_std: (0.0, 1.129)
sensor_79_avg: (0.0, 2.0)
sensor_79_max: (0.0, 3.92)
sensor_79_min: (0.0, 2.0)
sensor_79_std: (0.0, 1.176)
sensor_80_avg: (0.0, 2.0)
sensor_80_max: (0.0, 3.92)
sensor_80_min: (0.0, 2.0)
sensor_80_std: (0.0, 1.177)
sensor_81_avg: (0.0, 4.713)
sensor_81_max: (0.0, 10.78)
sensor_81_min: (0.0, 2.75)
sensor_81_std: (0.0, 2.991)
sensor_82_avg: (0.0, 3.299)
sensor_82_max: (0.0, 10.78)
sensor_82_min: (0.0, 0.0)
sensor_82_std: (0.0, 3.022)
sensor_83_avg: (0.0, 4.795)
sensor_83_max: (0.0, 12.15)
sensor_83_min: (0.0, 4.65)
sensor_83_std: (0.0, 2.405)
sensor_84_avg: (0.0, 4.834)
sensor_84_max: (0.0, 12.15)
sensor_84_min: (0.0, 4.83)
sensor_84_std: (0.0, 2.442)
sensor_85_avg: (0.0, 4.725)
sensor_85_max: (0.0, 12.15)
sensor_85_min: (0.0, 4.65)
sensor_85_std: (0.0, 2.369)
sensor_86_avg: (0.0, 4.792)
sensor_86_max: (0.0, 12.15)
sensor_86_min: (0.0, 4.65)
sensor_86_std: (0.0, 2.925)
sensor_87_avg: (0.0, 9.15)
sensor_87_max: (0.0, 24.69)
sensor_87_min: (0.0, 8.94)
sensor_87_std: (0.0, 4.482)
sensor_88_avg: (0.0, 9.243)
sensor_88_max: (0.0, 24.69)
sensor_88_min: (0.0, 8.94)
sensor_88_std: (0.0, 4.469)
sensor_89_avg: (0.0, 8.971)
sensor_89_max: (0.0, 24.69)
sensor_89_min: (0.0, 8.94)
sensor_89_std: (0.0, 4.458)
sensor_90_avg: (-0.3682, 29.42)
sensor_90_max: (-0.3199, 29.42)
sensor_90_min: (-2.66, 29.42)
sensor_90_std: (0.0, 14.54)
sensor_91_avg: (-0.2942, 29.42)
sensor_91_max: (-0.2399, 29.42)
sensor_91_min: (-3.22, 29.42)
sensor_91_std: (0.0, 14.636)
sensor_92_avg: (-0.6692, 29.42)
sensor_92_max: (-0.62, 29.42)
sensor_92_min: (-5.62, 29.42)
sensor_92_std: (0.0, 14.838)
sensor_93_avg: (-0.5347, 29.42)
sensor_93_max: (-0.4799, 29.42)
sensor_93_min: (-4.58, 29.42)
sensor_93_std: (0.0, 14.568)
sensor_94_avg: (0.0, 1248.8)
sensor_94_max: (0.0, 1252.0)
sensor_94_min: (0.0, 1246.0)
sensor_94_std: (0.0, 583.06)
sensor_95_avg: (-1.2, 4.454)
sensor_95_max: (-1.2, 5.0)
sensor_95_min: (-1.2, 1.0)
sensor_95_std: (0.0, 2.5)
sensor_96_avg: (-1.2, 0.9746)
sensor_96_max: (-1.2, 1.8)
sensor_96_min: (-1.2, 0.4)
sensor_96_std: (0.0, 0.8195)
sensor_97_avg: (0.0, 4.39)
sensor_97_max: (0.0, 4.5)
sensor_97_min: (-0.54, 4.39)
sensor_97_std: (0.0, 2.091)
sensor_98_avg: (-1.43, 4.389)
sensor_98_max: (-0.36, 4.46)
sensor_98_min: (-2.46, 4.38)
sensor_98_std: (0.0, 1.619)
sensor_99_avg: (0.0, 4.589)
sensor_99_max: (0.0, 4.67)
sensor_99_min: (-1.45, 4.55)
sensor_99_std: (0.0, 2.565)
sensor_100_avg: (-123.02, 263.99)
sensor_100_max: (-123.02, 300.72)
sensor_100_min: (-128.74, 258.13)
sensor_100_std: (0.0, 201.81)
sensor_101_avg: (-115.51, 298.68)
sensor_101_max: (-115.24, 304.51)
sensor_101_min: (-128.74, 298.31)
sensor_101_std: (0.0, 209.0)
sensor_102_avg: (-115.93, 282.9)
sensor_102_max: (-115.93, 300.74)
sensor_102_min: (-128.74, 277.04)
sensor_102_std: (0.0, 199.57)
sensor_103_avg: (-100.57, 264.13)
sensor_103_max: (-100.57, 300.73)
sensor_103_min: (-128.74, 258.33)
sensor_103_std: (0.0, 201.8)
sensor_104_avg: (-115.39, 298.82)
sensor_104_max: (-115.13, 304.26)
sensor_104_min: (-128.74, 298.44)
sensor_104_std: (0.0, 209.0)
sensor_105_avg: (-121.67, 282.89)
sensor_105_max: (-121.67, 300.74)
sensor_105_min: (-128.74, 277.12)
sensor_105_std: (0.0, 199.57)
sensor_106_avg: (-24.99, 100.0)
sensor_106_max: (-24.99, 100.0)
sensor_106_min: (-24.99, 100.0)
sensor_106_std: (0.0, 62.296)
sensor_107_avg: (0.0, 62.577)
sensor_108_avg: (0.0, 20.398)
sensor_108_max: (0.0, 130.2)
sensor_108_min: (0.0, 16.5)
sensor_108_std: (0.0, 11.297)
sensor_107_max: (0.0, 294.8)
sensor_107_min: (0.0, 50.2)
sensor_107_std: (0.0, 34.134)
sensor_109_avg: (-199.9, 598.38)
sensor_109_max: (-199.9, 612.7)
sensor_109_min: (-199.9, 584.1)
sensor_109_std: (0.0, 238.15)
sensor_110_avg: (-199.9, 650.05)
sensor_110_max: (-199.9, 665.7)
sensor_110_min: (-199.9, 639.5)
sensor_110_std: (0.0, 267.64)
sensor_111_avg: (-199.9, 800.0)
sensor_111_max: (-199.9, 800.0)
sensor_111_min: (-199.9, 800.0)
sensor_111_std: (0.0, 377.61)
sensor_112_avg: (-199.9, 800.0)
sensor_112_max: (-199.9, 800.0)
sensor_112_min: (-199.9, 800.0)
sensor_112_std: (0.0, 377.62)
sensor_113_avg: (-249.9, 520.55)
sensor_113_max: (-249.9, 593.7)
sensor_113_min: (-249.9, 486.2)
sensor_113_std: (0.0, 216.81)
sensor_114_avg: (-249.9, 481.54)
sensor_114_max: (-249.9, 568.7)
sensor_114_min: (-249.9, 464.9)
sensor_114_std: (0.0, 202.94)
sensor_115_avg: (-624.0, 439.61)
sensor_115_max: (-624.0, 468.0)
sensor_115_min: (-624.0, 431.0)
sensor_115_std: (0.0, 298.19)
sensor_116_avg: (-624.0, 405.1)
sensor_116_max: (-624.0, 442.0)
sensor_116_min: (-624.0, 391.0)
sensor_116_std: (0.0, 303.9)
sensor_117_avg: (-3.99, 10.44)
sensor_117_max: (-3.99, 11.02)
sensor_117_min: (-3.99, 10.39)
sensor_117_std: (0.0, 4.546)
sensor_118_avg: (-3.99, 10.47)
sensor_118_max: (-3.99, 11.02)
sensor_118_min: (-3.99, 10.42)
sensor_118_std: (0.0, 4.544)
reactive_power_119_avg: (-0.53828, 0.5761)
reactive_power_119_max: (-0.53188, 0.6543800000000001)
reactive_power_119_min: (-1.2311, 0.5697800000000001)
reactive_power_119_std: (0.0, 0.38276)
reactive_power_120_avg: (-0.0898, 0.53454)
reactive_power_120_max: (-0.0852, 0.5986)
reactive_power_120_min: (-0.1814, 0.505)
reactive_power_120_std: (0.0, 0.26708)
reactive_power_121_avg: (-0.729, 0.37212)
reactive_power_121_max: (-0.7288, 0.377)
reactive_power_121_min: (-0.733, 0.3708)
reactive_power_121_std: (0.0, 0.38024)
reactive_power_122_avg: (-0.53142, 0.5709)
reactive_power_122_max: (-0.5312, 0.5754)
reactive_power_122_min: (-0.5354, 0.5696)
reactive_power_122_std: (0.0, 0.38068)
sensor_123_avg: (-269.9, 180.0)
sensor_123_max: (-166.5, 180.0)
sensor_123_min: (-269.9, 180.0)
sensor_123_std: (0.0, 175.98)
sensor_124_avg: (-234.76, 170.34)
sensor_124_max: (-228.4, 1130.8)
sensor_124_min: (-242.0, 168.7)
sensor_124_std: (0.0, 297.02)
sensor_125_avg: (-269.9, 180.0)
sensor_125_max: (-269.9, 180.0)
sensor_125_min: (-269.9, 180.0)
sensor_125_std: (0.0, 224.92)
sensor_126_avg: (-269.9, 180.0)
sensor_126_max: (-269.9, 180.0)
sensor_126_min: (-269.9, 180.0)
sensor_126_std: (0.0, 224.97)
sensor_127_avg: (-0.0006, 94.973)
sensor_127_max: (0.0, 341.0)
sensor_127_min: (-17.0, 88.0)
sensor_127_std: (0.0, 45.752)
sensor_128_avg: (-0.0006, 96.163)
sensor_128_max: (0.0, 317.0)
sensor_128_min: (-17.0, 90.0)
sensor_128_std: (0.0, 46.528)
sensor_129_avg: (-0.0006, 94.471)
sensor_129_max: (0.0, 185.0)
sensor_129_min: (-16.0, 87.0)
sensor_129_std: (0.0, 45.548)
sensor_130_avg: (0.0, 986.13)
sensor_130_max: (0.0, 1547.0)
sensor_130_min: (0.0, 960.0)
sensor_130_std: (0.0, 481.37)
sensor_131_avg: (0.0, 986.27)
sensor_131_max: (0.0, 2913.0)
sensor_131_min: (0.0, 960.0)
sensor_131_std: (0.0, 481.63)
sensor_132_avg: (0.0, 985.59)
sensor_132_max: (0.0, 2323.0)
sensor_132_min: (0.0, 961.0)
sensor_132_std: (0.0, 481.23)
sensor_133_avg: (-3276.8, 36.698)
sensor_133_max: (-3276.8, 210.0)
sensor_133_min: (-3276.8, 12.0)
sensor_133_std: (0.0, 1638.5)
sensor_134_avg: (-3276.8, 62.959)
sensor_134_max: (-3276.8, 210.0)
sensor_134_min: (-3276.8, 14.0)
sensor_134_std: (0.0, 1633.8)
sensor_135_avg: (-1387.2, 57.013)
sensor_135_max: (0.0, 210.0)
sensor_135_min: (-3276.8, 14.0)
sensor_135_std: (0.0, 1619.2)
sensor_136_avg: (0.0, 3453.1)
sensor_136_max: (0.0, 4380.0)
sensor_136_min: (0.0, 3411.0)
sensor_136_std: (0.0, 1717.4)
sensor_137_avg: (0.0, 3454.1)
sensor_137_max: (0.0, 4434.0)
sensor_137_min: (0.0, 3413.0)
sensor_137_std: (0.0, 1716.6)
sensor_138_avg: (0.0, 3452.0)
sensor_138_max: (0.0, 4427.0)
sensor_138_min: (0.0, 3410.0)
sensor_138_std: (0.0, 1717.2)
sensor_139_avg: (0.0, 19642.0)
sensor_139_max: (0.0, 32767.0)
sensor_139_min: (-5599.0, 19328.0)
sensor_139_std: (0.0, 9642.5)
sensor_140_avg: (0.0, 19650.0)
sensor_140_max: (0.0, 32767.0)
sensor_140_min: (-5111.0, 19374.0)
sensor_140_std: (0.0, 9667.0)
sensor_141_avg: (0.0, 19652.0)
sensor_141_max: (0.0, 25794.0)
sensor_141_min: (-5619.0, 19356.0)
sensor_141_std: (0.0, 9635.4)
sensor_142_avg: (0.0, 50.002)
sensor_142_max: (0.0, 55.995)
sensor_142_min: (0.0, 50.002)
sensor_142_std: (0.0, 25.002)
sensor_143_avg: (0.0, 50.002)
sensor_143_max: (0.0, 55.995)
sensor_143_min: (0.0, 50.002)
sensor_143_std: (0.0, 25.012)
sensor_144_avg: (-5.5, 21.66)
sensor_144_max: (-5.5, 21.66)
sensor_144_min: (-5.5, 21.66)
sensor_144_std: (0.0, 12.722)
sensor_145_avg: (-5.5, 14.909)
sensor_145_max: (-5.5, 16.83)
sensor_145_min: (-5.5, 14.78)
sensor_145_std: (0.0, 7.365)
sensor_146_avg: (-54.16, 150.44)
sensor_146_max: (-54.16, 194.35)
sensor_146_min: (-54.16, 149.61)
sensor_146_std: (0.0, 73.42)
sensor_147_avg: (-54.99, 150.47)
sensor_147_max: (-54.99, 219.95)
sensor_147_min: (-54.99, 149.76)
sensor_147_std: (0.0, 73.51)
sensor_148_avg: (-117.88, 177.35)
sensor_148_max: (-97.0, 3276.7)
sensor_148_min: (-3002.0, 68.0)
sensor_148_std: (0.0, 582.73)
sensor_149_avg: (-2666.9, 3276.7)
sensor_149_max: (-102.0, 3276.7)
sensor_149_min: (-3276.7, 3276.7)
sensor_149_std: (0.0, 1803.2)
sensor_150_avg: (-127.41, 2451.7)
sensor_150_max: (-109.0, 3276.7)
sensor_150_min: (-3191.0, 2451.7)
sensor_150_std: (0.0, 1250.9)
sensor_151_avg: (0.0, 63.9)
sensor_151_max: (0.0, 64.0)
sensor_151_min: (0.0, 63.9)
sensor_151_std: (0.0, 25.378)
sensor_152_avg: (-3276.7, 72.759)
sensor_152_max: (-3276.7, 72.8)
sensor_152_min: (-3276.7, 72.7)
sensor_152_std: (0.0, 1554.2)
sensor_153_avg: (-3276.7, 64.073)
sensor_153_max: (-3276.7, 64.1)
sensor_153_min: (-3276.7, 64.0)
sensor_153_std: (0.0, 1646.0)
sensor_154_avg: (0.0, 74.903)
sensor_154_max: (0.0, 75.0)
sensor_154_min: (0.0, 74.9)
sensor_154_std: (0.0, 26.452)
sensor_155_avg: (0.0, 65.633)
sensor_155_max: (0.0, 65.7)
sensor_155_min: (0.0, 65.6)
sensor_155_std: (0.0, 25.055)
sensor_156_avg: (0.0, 75.1)
sensor_156_max: (0.0, 75.1)
sensor_156_min: (0.0, 75.1)
sensor_156_std: (0.0, 26.208)
sensor_157_avg: (0.0, 64.5)
sensor_157_max: (0.0, 64.6)
sensor_157_min: (0.0, 64.5)
sensor_157_std: (0.0, 25.323)
sensor_158_avg: (0.0, 74.406)
sensor_158_max: (0.0, 74.5)
sensor_158_min: (0.0, 74.3)
sensor_158_std: (0.0, 26.311)
sensor_159_avg: (0.0, 63.824)
sensor_159_max: (0.0, 63.9)
sensor_159_min: (0.0, 63.8)
sensor_159_std: (0.0, 25.331)
sensor_160_avg: (0.0, 73.1)
sensor_160_max: (0.0, 73.1)
sensor_160_min: (0.0, 73.1)
sensor_160_std: (0.0, 26.311)
sensor_161_avg: (0.0, 64.069)
sensor_161_max: (0.0, 64.1)
sensor_161_min: (0.0, 64.0)
sensor_161_std: (0.0, 24.794)
sensor_162_avg: (0.0, 75.1)
sensor_162_max: (0.0, 75.1)
sensor_162_min: (0.0, 75.1)
sensor_162_std: (0.0, 26.529)
sensor_163_avg: (0.0, 65.582)
sensor_163_max: (0.0, 65.6)
sensor_163_min: (0.0, 65.5)
sensor_163_std: (0.0, 25.007)
sensor_164_avg: (0.0, 75.0)
sensor_164_max: (0.0, 75.0)
sensor_164_min: (0.0, 75.0)
sensor_164_std: (0.0, 26.118)
sensor_165_avg: (0.0, 64.6)
sensor_165_max: (0.0, 64.6)
sensor_165_min: (0.0, 64.6)
sensor_165_std: (0.0, 25.308)
sensor_166_avg: (0.0, 73.766)
sensor_166_max: (0.0, 73.8)
sensor_166_min: (0.0, 73.7)
sensor_166_std: (0.0, 26.311)
sensor_167_avg: (0.0, 42.8)
sensor_167_max: (0.0, 42.8)
sensor_167_min: (0.0, 42.8)
sensor_167_std: (0.0, 3.866)
sensor_168_avg: (0.0, 83.549)
sensor_168_max: (0.0, 83.7)
sensor_168_min: (0.0, 83.5)
sensor_168_std: (0.0, 23.334)
sensor_169_avg: (0.0, 83.963)
sensor_169_max: (0.0, 84.2)
sensor_169_min: (0.0, 83.8)
sensor_169_std: (0.0, 23.462)
sensor_170_avg: (0.0, 56.741)
sensor_170_max: (0.0, 56.8)
sensor_170_min: (0.0, 56.7)
sensor_170_std: (0.0, 22.027)
sensor_171_avg: (0.0, 43.597)
sensor_171_max: (0.0, 43.6)
sensor_171_min: (0.0, 43.5)
sensor_171_std: (0.0, 3.445)
sensor_172_avg: (0.0, 52.318)
sensor_172_max: (0.0, 57.7)
sensor_172_min: (-7.5, 52.0)
sensor_172_std: (0.0, 10.33)
sensor_173_avg: (0.0, 361.07)
sensor_173_max: (0.0, 719.1)
sensor_173_min: (0.0, 103.0)
sensor_173_std: (0.0, 153.93)
sensor_174_avg: (0.0, 257.56)
sensor_174_max: (0.0, 602.2)
sensor_174_min: (0.0, 147.5)
