train_test: ('prediction', 'train')
sensor_64_avg: (0.0, 2119.2)
sensor_65_avg: (0.0, 45.111)
sensor_66_avg: (0.0, 128.49)
sensor_67_avg: (0.0, 131.22)
sensor_68_avg: (0.0, 127.81)
sensor_69_avg: (0.0, 20.998)
sensor_70_avg: (0.0, 21.181)
sensor_71_avg: (0.0, 405.0)
sensor_72_avg: (0.0, 405.01)
sensor_73_avg: (0.0, 405.0)
sensor_74_avg: (0.0, 228.01)
sensor_75_avg: (-6792.2, 6976.0)
sensor_76_avg: (-2.5, 27.15)
sensor_77_avg: (0.0, 1.931)
sensor_78_avg: (0.0, 1.92)
sensor_79_avg: (0.0, 2.0)
sensor_80_avg: (0.0, 2.0)
sensor_81_avg: (0.0, 5.381)
sensor_82_avg: (0.0, 3.311)
sensor_83_avg: (0.0, 4.795)
sensor_84_avg: (0.0, 4.834)
sensor_85_avg: (0.0, 4.725)
sensor_86_avg: (0.0, 4.792)
sensor_87_avg: (0.0, 9.15)
sensor_88_avg: (0.0, 9.243)
sensor_89_avg: (0.0, 8.971)
sensor_90_avg: (-0.3682, 29.42)
sensor_91_avg: (-0.2942, 29.42)
sensor_92_avg: (-0.6692, 29.42)
sensor_93_avg: (-0.5347, 29.42)
sensor_94_avg: (0.0, 1248.8)
sensor_95_avg: (-1.2, 4.454)
sensor_96_avg: (-1.2, 0.9746)
sensor_97_avg: (-1.03, 4.43)
sensor_98_avg: (-1.43, 4.437)
sensor_99_avg: (-0.4499, 4.589)
sensor_100_avg: (-123.02, 263.99)
sensor_101_avg: (-115.51, 298.68)
sensor_102_avg: (-115.93, 290.87)
sensor_103_avg: (-100.57, 264.13)
sensor_104_avg: (-115.39, 298.82)
sensor_105_avg: (-121.67, 290.91)
sensor_106_avg: (-34.284, 100.0)
sensor_107_avg: (0.0, 62.577)
sensor_108_avg: (0.0, 20.398)
sensor_109_avg: (-199.9, 598.38)
sensor_110_avg: (-199.9, 650.05)
sensor_111_avg: (-199.9, 800.0)
sensor_112_avg: (-199.9, 800.0)
sensor_113_avg: (-249.9, 520.55)
sensor_114_avg: (-249.9, 481.54)
sensor_115_avg: (-624.0, 439.61)
sensor_116_avg: (-624.0, 405.1)
sensor_117_avg: (-3.99, 10.44)
sensor_118_avg: (-3.99, 10.47)
reactive_power_119_avg: (-0.53828, 0.5761)
reactive_power_120_avg: (-0.0898, 0.53454)
reactive_power_121_avg: (-0.729, 0.37212)
reactive_power_122_avg: (-0.53142, 0.5709)
sensor_123_avg: (-269.9, 180.0)
sensor_124_avg: (-234.76, 170.34)
sensor_125_avg: (-269.9, 180.0)
sensor_126_avg: (-318.22, 180.0)
sensor_127_avg: (-0.0006, 94.973)
sensor_128_avg: (-0.0006, 96.163)
sensor_129_avg: (-0.0006, 94.471)
sensor_130_avg: (0.0, 986.13)
sensor_131_avg: (0.0, 986.27)
sensor_132_avg: (0.0, 985.59)
sensor_133_avg: (-3276.8, 36.698)
sensor_134_avg: (-3276.8, 62.959)
sensor_135_avg: (-1387.2, 57.013)
sensor_136_avg: (0.0, 3453.1)
sensor_137_avg: (0.0, 3454.1)
sensor_138_avg: (0.0, 3452.0)
sensor_139_avg: (0.0, 19642.0)
sensor_140_avg: (0.0, 19650.0)
sensor_141_avg: (0.0, 19652.0)
sensor_142_avg: (0.0, 50.002)
sensor_143_avg: (0.0, 50.002)
sensor_144_avg: (-5.5, 21.66)
sensor_145_avg: (-5.5, 14.909)
sensor_146_avg: (-54.16, 150.44)
sensor_147_avg: (-54.99, 150.48)
sensor_148_avg: (-117.88, 177.35)
sensor_149_avg: (-2666.9, 3276.7)
sensor_150_avg: (-127.41, 2451.7)
sensor_151_avg: (0.0, 64.0)
sensor_152_avg: (-3276.7, 72.759)
sensor_153_avg: (-3276.7, 64.073)
sensor_154_avg: (0.0, 74.903)
sensor_155_avg: (0.0, 65.633)
sensor_156_avg: (0.0, 75.1)
sensor_157_avg: (0.0, 64.5)
sensor_158_avg: (0.0, 74.406)
sensor_159_avg: (0.0, 63.958)
sensor_160_avg: (0.0, 73.1)
sensor_161_avg: (0.0, 64.069)
sensor_162_avg: (0.0, 75.1)
sensor_163_avg: (0.0, 65.582)
sensor_164_avg: (0.0, 75.0)
sensor_165_avg: (0.0, 64.6)
sensor_166_avg: (0.0, 73.766)
sensor_167_avg: (0.0, 42.8)
sensor_168_avg: (0.0, 83.549)
sensor_169_avg: (0.0, 83.963)
sensor_170_avg: (0.0, 56.741)
sensor_171_avg: (0.0, 43.597)
sensor_172_avg: (0.0, 52.318)
sensor_173_avg: (0.0, 1705.1)
sensor_174_avg: (0.0, 257.56)
sensor_175_avg: (0.0, 66.502)
sensor_176_avg: (-1.38, 69.203)
sensor_177_avg: (-0.1058, 852.03)
sensor_178_avg: (0.0, 3076.0)
sensor_179_avg: (-52.4, 507.25)
sensor_180_avg: (0.0, 3005.5)
sensor_181_avg: (0.0, 2093.1)
sensor_182_avg: (0.0, 3005.7)
sensor_183_avg: (0.0, 139.67)
sensor_184_avg: (0.0, 850.0)
sensor_185_avg: (0.0, 755.65)
sensor_186_avg: (-1647.1, 850.0)
sensor_187_avg: (-2573.9, 109.19)
sensor_188_avg: (0.0, 45.8)
sensor_189_avg: (-3276.7, 53.732)
sensor_190_avg: (0.0, 53.51)
sensor_191_avg: (0.0, 70.092)
sensor_192_avg: (0.0, 69.836)
sensor_193_avg: (-44.1, 37.964)
sensor_194_avg: (0.0, 850.0)
sensor_195_avg: (0.0, 850.0)
sensor_196_avg: (0.0, 56.6)
sensor_197_avg: (0.0, 56.2)
sensor_198_avg: (0.0, 54.8)
sensor_199_avg: (0.0, 850.0)
sensor_200_avg: (0.0, 850.0)
sensor_201_avg: (0.0, 850.0)
sensor_202_avg: (0.0, 850.0)
sensor_203_avg: (0.0, 850.0)
sensor_204_avg: (0.0, 850.0)
sensor_205_avg: (0.0, 850.0)
sensor_206_avg: (0.0, 41.024)
sensor_207_avg: (0.0, 41.024)
sensor_208_avg: (0.0, 65.963)
sensor_209_avg: (0.0, 66.881)
sensor_210_avg: (0.0, 39.857)
sensor_211_avg: (0.0, 100.0)
sensor_212_avg: (0.0, 26.4)
sensor_213_avg: (0.0, 26.477)
sensor_214_avg: (0.0, 212.28)
sensor_215_avg: (0.0, 213.55)
sensor_216_avg: (0.0, 212.0)
sensor_217_avg: (0.0, 28.3)
sensor_218_avg: (0.0, 43.148)
sensor_219_avg: (0.0, 422.27)
sensor_220_avg: (0.0, 415.95)
sensor_221_avg: (0.0, 422.45)
sensor_222_avg: (0.0, 209.99)
sensor_223_avg: (0.0, 210.51)
sensor_224_avg: (0.0, 210.45)
sensor_225_avg: (-0.4399, 2.5)
sensor_226_avg: (-2.5, 10.0)
sensor_227_avg: (-2.5, 10.0)
sensor_228_avg: (-1564.0, 55.073)
sensor_229_avg: (-2211.2, 54.999)
sensor_230_avg: (0.0, 605.0)
sensor_231_avg: (-2.49, 5.06)
sensor_232_avg: (-3.467, 5.068)
sensor_233_avg: (-43.12, 57.477)
sensor_234_avg: (-1468.4, 57.553)
wind_speed_236_avg: (-14.9, 33.736)
wind_speed_235_avg: (-26.373, 33.773)
wind_speed_237_avg: (-14.9, 60.0)
label: (0, 1)
